ID|RawShares|RawUsage|NormShares|NormUsage
110707|1|0|0.000000|0.000000
187012|1|0|0.000000|0.000000
187013|1|0|0.000000|0.000000
166954|1|0|0.000000|0.000000
166955|1|0|0.000000|0.000000
184|1|0|0.000000|0.000000
4449|1|0|0.000000|0.000000
185|1|0|0.000000|0.000000
4450|1|0|0.000000|0.000000
60531|0|0|0.000000|0.000000
60533|0|0|0.000000|0.000000
158315|1|0|0.000000|0.000000
158316|1|0|0.000000|0.000000
82471|1|0|0.000000|0.000000
82472|1|0|0.000000|0.000000
113923|0|0|0.000000|0.000000
113924|0|0|0.000000|0.000000
155711|1|0|0.000000|0.000000
155712|1|0|0.000000|0.000000
137539|0|0|0.000000|0.000000
137540|0|0|0.000000|0.000000
151186|182881|12510931202|0.001648|0.000208
151187|1|0|0.000000|0.000000
188|0|0|0.000000|0.000000
4453|0|0|0.000000|0.000000
50967|1|9|0.000000|0.000000
50971|11617|918722245|0.000105|0.000015
93999|1|296623|0.000000|0.000000
94000|11617|1323545316|0.000105|0.000022
141681|182881|292690323331|0.001648|0.004856
141682|1|0|0.000000|0.000000
101895|0|0|0.000000|0.000000
101896|0|0|0.000000|0.000000
57948|1|11028938133|0.000000|0.000183
57949|1|0|0.000000|0.000000
138487|0|0|0.000000|0.000000
138488|0|0|0.000000|0.000000
40780|1|196|0.000000|0.000000
40781|1|0|0.000000|0.000000
133135|0|0|0.000000|0.000000
133136|0|0|0.000000|0.000000
68533|1|0|0.000000|0.000000
68534|1|0|0.000000|0.000000
115435|1|0|0.000000|0.000000
115436|1|0|0.000000|0.000000
135562|1|52228957296|0.000000|0.000866
135563|1|211578|0.000000|0.000000
104248|1|0|0.000000|0.000000
104249|1|2|0.000000|0.000000
190|0|0|0.000000|0.000000
4455|0|0|0.000000|0.000000
143525|0|0|0.000000|0.000000
143526|0|0|0.000000|0.000000
191|1|0|0.000000|0.000000
4456|1|0|0.000000|0.000000
192|0|0|0.000000|0.000000
4457|0|0|0.000000|0.000000
180259|1|0|0.000000|0.000000
180260|1|0|0.000000|0.000000
102615|1|0|0.000000|0.000000
102616|1|0|0.000000|0.000000
65247|1|0|0.000000|0.000000
65249|1|0|0.000000|0.000000
160299|1|0|0.000000|0.000000
160300|1|0|0.000000|0.000000
193|182881|121507776867|0.001648|0.002016
4458|1|0|0.000000|0.000000
45480|1|487320|0.000000|0.000000
